,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
234,562645.0,5943563,€,hotdogs,1.1086345860936442,132.49823999999998,8,2819.0,41836.0,15.7,26.00870064,10.47423272,9189.0,21.98115013,21637.0,47.39104312,18.46836438,19.76976977,3369.0920539999997,59.21279599,3.136270974,41651.0,515,3259,60.68204614,420.0449374
66,554645.0,5936563,€,hotdogs,1.1086345860936442,234.83552000000003,4,602.0,11324.0,17.8,25.30024726,8.256799717,2408.0,21.26269316,5629.0,44.91028602,22.02877953,23.46774194,4241.0069189999995,57.33254647,3.9097078780000003,39439.0,578,3243,51.94029851,413.281526
647,577645.0,5926563,€,hotdogs,1.1086345860936442,15.32899,4,,23715.0,23.5,8.252161079,16.63925785,15234.0,64.28390581,9596.0,29.86661109,33.53480617,26.38284649,5640.730327,57.66946191,5.607966457000001,28633.0,275,.    ,39.87538941,331.2249631
333,566645.0,5938563,€,hotdogs,1.1086345860936442,269.70541000000003,13,4177.0,54826.0,12.5,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
329,566645.0,5934563,€,hotdogs,1.1086345860936442,128.25883000000002,107,,,,,,,,,,,,,,,,,,,
332,566645.0,5937563,€,hotdogs,1.1086345860936442,130.44961,33,4177.0,54826.0,12.5,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
174,560645.0,5934563,€,hotdogs,1.1086345860936442,336.22896000000003,8,2798.0,35370.0,15.7,13.44642352,13.05060786,9189.0,25.99507765,21458.0,60.9003635,17.3548327,27.52416756,12653.87744,57.4233605,4.447031432,40830.0,1483,5083,49.09443726,277.3536896
118,557645.0,5938563,€,hotdogs,1.1086345860936442,31.99312,9,2339.0,36053.0,19.9,18.41733004,19.47133387,16821.0,46.66407745,17530.0,44.54078722,23.42840844,29.24275627,5729.666455,55.42302595,7.742294045,26665.0,445,2755,34.55565142,325.93681519999996
305,565645.0,5938563,€,hotdogs,1.1086345860936442,144.69008,31,2103.0,24387.0,13.7,18.66158199,9.529667446,4884.0,20.03527916,15195.0,62.11911813,14.50477131,21.960072600000004,9136.26015,61.05250682,2.856465568,58438.0,2348,4999,76.76143387,328.2896625
304,565645.0,5937563,€,hotdogs,1.1086345860936442,65.45747,8,1494.0,17822.0,15.7,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
