,x,y,price_level,category,predicted_success
99,556645.0,5936563,€€€,cafes,0.8789699240275504
100,556645.0,5937563,€€€,cafes,0.8714192106979368
101,556645.0,5938563,€€€,cafes,0.7653105528072107
102,557645.0,5922563,€€€,cafes,0.8714192106979368
103,557645.0,5923563,€€€,cafes,0.7653105528072107
104,557645.0,5924563,€€€,cafes,0.8714192106979368
105,557645.0,5925563,€€€,cafes,0.8714192106979368
106,557645.0,5926563,€€€,cafes,0.7653105528072107
107,557645.0,5927563,€€€,cafes,0.7653105528072107
108,557645.0,5928563,€€€,cafes,0.7630189830560242
109,557645.0,5929563,€€€,cafes,0.7630189830560242
110,557645.0,5930563,€€€,cafes,0.7653105528072107
111,557645.0,5931563,€€€,cafes,0.7653105528072107
112,557645.0,5932563,€€€,cafes,0.8714192106979368
