,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
396,568645.0,5937563,€,kebab,0.741897788325051,37.32547,6,,34792.0,3625.0,14.53782479,13.21280754,9200.0,26.45274447,23727.0,68.8371897,10.67138703,28.79146919,11253.086720000001,65.60934263,4.50932379,32679.0,808,4094,44.98861048,288.0834675
203,561645.0,5937563,€,kebab,0.741897788325051,129.38835,7,2303.0,25634.0,3538.0,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
398,568645.0,5939563,€,kebab,0.741897788325051,24.98428,14,4145.0,41475.0,4213.0,13.31163351,12.80048222,10793.0,26.03671628,29013.0,70.48219764,10.07479406,28.80602121,10769.38158,66.74734686,5.321789859,28330.0,773,3588,37.68693918,268.9089813
555,573645.0,5939563,€,kebab,0.741897788325051,269.40963999999997,4,2905.0,34634.0,5988.0,20.202691,11.4078651,10321.0,29.80622058,17660.0,47.18006795,21.3193658,26.32138114,4210.120841,60.70561222,4.879233453,31603.0,444,2701,38.08584114,383.81359360000005
243,563645.0,5924563,€,kebab,0.741897788325051,200.12424,5,1593.0,21798.0,3736.0,15.76750161,23.49298101,9537.0,43.75172034,12044.0,55.20591166,18.93058784,26.57894737,1676.2235150000001,57.12126191,5.987512323,30132.0,314,2478,32.427695,286.8153042
237,562645.0,5943563,€,kebab,0.741897788325051,132.49823999999998,8,2819.0,41836.0,6578.0,26.00870064,10.47423272,9189.0,21.98115013,21637.0,47.39104312,18.46836438,19.76976977,3369.0920539999997,59.21279599,3.136270974,41651.0,515,3259,60.68204614,420.0449374
549,573645.0,5933563,€,kebab,0.741897788325051,50.30543,5,7771.0,70234.0,13539.0,18.03257681,24.74869721,39605.0,56.40211339,34807.0,45.90455943,22.5644267,31.02877515,4150.003928,52.23101641,8.725657228,23247.0,319,2399,28.51883932,310.47640739999997
235,562645.0,5941563,€,kebab,0.741897788325051,122.78645,8,2819.0,41836.0,6578.0,26.00870064,10.47423272,9189.0,21.98115013,21637.0,47.39104312,18.46836438,19.76976977,3369.0920539999997,59.21279599,3.136270974,41651.0,515,3259,60.68204614,420.0449374
232,562645.0,5938563,€,kebab,0.741897788325051,196.43972,4,1583.0,28426.0,4794.0,20.38626609,13.804263699999998,8326.0,29.30967719,15393.0,53.96608848,19.06061197,21.30197682,5805.727005,59.59541324,3.8673734310000003,41778.0,736,3656,57.83699059999999,336.8043341
255,563645.0,5935563,€,kebab,0.741897788325051,81.75853000000001,72,,262130.0,39569.0,19.01422958,13.55815817,71787.0,27.39920001,151685.0,57.13089627,16.46240564,23.61138921,5263.654618,58.46107318,4.073300365,44653.0,.    ,.    ,56.30752572,343.9400298
231,562645.0,5937563,€,kebab,0.741897788325051,327.98548,15,2303.0,25634.0,3538.0,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
230,562645.0,5936563,€,kebab,0.741897788325051,103.80643,15,,262130.0,39569.0,19.01422958,13.55815817,71787.0,27.39920001,151685.0,57.13089627,16.46240564,23.61138921,5263.654618,58.46107318,4.073300365,44653.0,.    ,.    ,56.30752572,343.9400298
224,562645.0,5933563,€,kebab,0.741897788325051,242.41412999999997,17,4775.0,29034.0,4396.0,12.92278019,19.64937659,10960.0,37.7579495,17741.0,62.62330196,16.3237698,31.21546961,10682.61956,55.95587208,7.331378299,30833.0,1349,5745,40.42379788,232.17606940000002
225,562645.0,5934563,€,kebab,0.741897788325051,360.08679,15,4775.0,29034.0,4396.0,12.92278019,19.64937659,10960.0,37.7579495,17741.0,62.62330196,16.3237698,31.21546961,10682.61956,55.95587208,7.331378299,30833.0,1349,5745,40.42379788,232.17606940000002
424,569645.0,5940563,€,kebab,0.741897788325051,48.495259999999995,4,1842.0,19390.0,3707.0,19.66993296,22.23826715,9684.0,49.96904025,9602.0,46.58404499,22.0787336,30.8490566,7761.069742000001,52.35996474,9.287603172999999,22730.0,412,2459,26.73031026,295.77101600000003
226,562645.0,5935563,€,kebab,0.741897788325051,79.02935,7,369.0,22137.0,3482.0,10.1142883,18.82820617,7959.0,35.96962986,13596.0,63.43042071,16.26949103,27.35081374,9981.437724,56.99881376,7.158956109,29901.0,1055,5745,38.1489842,235.80430950000002
422,569645.0,5938563,€,kebab,0.741897788325051,127.67273,7,4145.0,41475.0,4213.0,13.31163351,12.80048222,10793.0,26.03671628,29013.0,70.48219764,10.07479406,28.80602121,10769.38158,66.74734686,5.321789859,28330.0,773,3588,37.68693918,268.9089813
421,569645.0,5937563,€,kebab,0.741897788325051,59.962819999999994,5,,34792.0,3625.0,14.53782479,13.21280754,9200.0,26.45274447,23727.0,68.8371897,10.67138703,28.79146919,11253.086720000001,65.60934263,4.50932379,32679.0,808,4094,44.98861048,288.0834675
227,562645.0,5936563,€,kebab,0.741897788325051,103.80643,15,,57055.0,7192.0,12.530014900000001,11.99544299,13148.0,23.05210744,38461.0,67.55934583,12.93258106,26.11580217,17688.463330000002,61.26941815,3.970953213,37536.0,1451,4396,61.06489185,266.18175440000005
419,569645.0,5935563,€,kebab,0.741897788325051,61.28666,9,1858.0,21505.0,2481.0,15.90327831,14.55010463,6473.0,30.11818351,14252.0,66.31349986,11.27561044,25.82451773,12278.90259,66.05752324,4.703592062,32559.0,926,3884,43.52750809,295.140665
418,569645.0,5934563,€,kebab,0.741897788325051,12.96134,5,3175.0,38136.0,4349.0,14.38011328,17.98300818,13286.0,34.84121365,25809.0,68.14677051,10.93029563,31.761786600000004,9806.623908,64.53758227,5.587114652,25745.0,367,2984,38.48101266,269.4042375
392,568645.0,5933563,€,kebab,0.741897788325051,134.67522,4,2591.0,4067.0,558.0,3.1226948610000003,55.49545119,2786.0,68.57002215,1792.0,69.41964286,8.59375,27.27272727,1629.415807,43.17396313,8.179723502,19468.0,788,.    ,45.94594595,124.66191299999998
391,568645.0,5932563,€,kebab,0.741897788325051,88.78062,4,1398.0,9137.0,1566.0,14.69847871,27.35033381,4953.0,54.20816461,5190.0,59.402697499999995,17.18689788,32.28699552,1270.641016,54.86229967,9.211140501000001,20473.0,250,3171,22.98850575,263.5438328
521,572645.0,5938563,€,kebab,0.741897788325051,137.31378,6,4547.0,34469.0,4177.0,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
522,572645.0,5938563,€,kebab,0.741897788325051,137.31378,6,4547.0,429918.0,72171.0,22.1302667,12.39887606,127932.0,29.772676500000003,224170.0,48.28299951,19.47450596,24.28532161,2914.698305,57.51648951,4.856545833999999,39964.0,.    ,.    ,47.69558729,397.8433097
178,560645.0,5938563,€,kebab,0.741897788325051,145.88233,4,2303.0,25634.0,3538.0,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
254,563645.0,5935563,€,kebab,0.741897788325051,81.75853000000001,72,,57055.0,7192.0,12.530014900000001,11.99544299,13148.0,23.05210744,38461.0,67.55934583,12.93258106,26.11580217,17688.463330000002,61.26941815,3.970953213,37536.0,1451,4396,61.06489185,266.18175440000005
586,574645.0,5938563,€,kebab,0.741897788325051,349.98415,4,1274.0,14762.0,2503.0,18.44601003,15.29603035,5539.0,37.53981701,8067.0,51.79124829999999,19.17689352,23.14156432,3745.6245280000003,59.8926691,6.105710814,32210.0,413,2752,38.73239437,377.79433680000005
183,560645.0,5943563,€,kebab,0.741897788325051,85.79819,7,1848.0,29409.0,5473.0,20.0584855,13.83590057,9101.0,30.94736126,14247.0,42.94237383,23.09959992,24.12640535,3285.6438359999997,57.74692332,4.828021458,37866.0,466,2750,40.34582133,411.7787072
253,563645.0,5934563,€,kebab,0.741897788325051,60.09737,48,,,,,,,,,,,,,,,,,,,
374,567645.0,5942563,€,kebab,0.741897788325051,95.9002,13,,12590.0,1959.0,20.02382844,12.39078634,2826.0,22.44816904,7058.0,54.78889204,16.83196373,24.66329966,1619.416041,61.32400047,4.009965595,39526.0,548,2920,57.80445969,375.694996
252,563645.0,5933563,€,kebab,0.741897788325051,65.24665999999999,87,,,,,,,,,,,,,,,,,,,
519,572645.0,5938563,€,kebab,0.741897788325051,137.31378,6,4547.0,34469.0,4177.0,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
445,570645.0,5936563,€,kebab,0.741897788325051,23.39203,26,4547.0,429918.0,72171.0,22.1302667,12.39887606,127932.0,29.772676500000003,224170.0,48.28299951,19.47450596,24.28532161,2914.698305,57.51648951,4.856545833999999,39964.0,.    ,.    ,47.69558729,397.8433097
444,570645.0,5936563,€,kebab,0.741897788325051,23.39203,26,4547.0,34469.0,4177.0,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
520,572645.0,5938563,€,kebab,0.741897788325051,137.31378,6,4547.0,429918.0,72171.0,22.1302667,12.39887606,127932.0,29.772676500000003,224170.0,48.28299951,19.47450596,24.28532161,2914.698305,57.51648951,4.856545833999999,39964.0,.    ,.    ,47.69558729,397.8433097
556,573645.0,5940563,€,kebab,0.741897788325051,127.69638,6,2905.0,34634.0,5988.0,20.202691,11.4078651,10321.0,29.80622058,17660.0,47.18006795,21.3193658,26.32138114,4210.120841,60.70561222,4.879233453,31603.0,444,2701,38.08584114,383.81359360000005
229,562645.0,5936563,€,kebab,0.741897788325051,103.80643,15,,57055.0,7192.0,12.530014900000001,11.99544299,13148.0,23.05210744,38461.0,67.55934583,12.93258106,26.11580217,17688.463330000002,61.26941815,3.970953213,37536.0,1451,4396,61.06489185,266.18175440000005
378,567645.0,5946563,€,kebab,0.741897788325051,19.15373,5,4015.0,45586.0,8017.0,19.52134427,15.65831615,14120.0,31.00162473,22845.0,48.08929744,20.16633837,26.48144129,3410.3023789999997,57.12718934,5.340822227,30965.0,332,3450,41.13300493,364.84885710000003
752,580645.0,5927563,€,kebab,0.741897788325051,179.51897,11,4723.0,35105.0,6089.0,20.14527845,14.82409913,11208.0,31.95711679,18101.0,49.19617701,19.33594829,28.22857143,3388.8083840000004,57.40886098,4.979940694,35049.0,442,2744,46.47588765,345.2499644
199,561645.0,5933563,€,kebab,0.741897788325051,52.65942,27,2798.0,35370.0,5567.0,13.44642352,13.05060786,9189.0,25.99507765,21458.0,60.9003635,17.3548327,27.52416756,12653.87744,57.4233605,4.447031432,40830.0,1483,5083,49.09443726,277.3536896
