id,price,rating,review_cou,is_closed,zip_code,epsg25832_,epsg2583_1,epsg4326_l,epsg4326_1,Bezirk_Nam,Stadtteil,water_distance
aOVr_1InH-itw8xNtb2htw,,5.0,1,False,21075.0,563940.2504199999,5924454.06374,53.4652,9.96316,Harburg,Heimfeld,322.6803540785767
xWPaFWRxkCkBE2Ht-ggMkg,,4.5,2,False,21075.0,563865.5365899999,5924430.80183,53.465,9.96203,Harburg,Heimfeld,245.1235925877206
2JZ__YSSPGnO8hLmwjAXVQ,,4.0,2,False,21075.0,563891.33955,5924486.78315,53.4655,9.96243,Harburg,Heimfeld,295.4789615436663
SQ-SJMjgBl45p31AbZtPYg,€€,4.5,38,False,21073.0,564193.72489,5923652.928069999,53.457969999999996,9.96681,Harburg,Eißendorf,262.57316230663014
jJck6CD-Z9C-L69HVNI_Jw,€€,3.0,49,False,21075.0,564212.37819,5924328.56731,53.464040000000004,9.96723,Harburg,Heimfeld,326.9699044382223
HGZAdxmEZja3-J06xwYzwQ,,5.0,4,False,21075.0,563811.91519,5924418.95204,53.4649,9.961219999999999,Harburg,Heimfeld,192.1837997795682
P84L8e-FePm3E_QI9T-pSg,€,3.0,45,False,21073.0,564248.11166,5923667.68531,53.4581,9.96764,Harburg,Eißendorf,318.50434236105093
n_Yio-a9VzssOtDbgezpRA,€,5.0,3,False,,566321.34665,5934220.79688,53.55268,10.00109,Hamburg-Mitte,Hamburg-Altstadt,105.66916468504186
APvIA_7ssxgC0atmQEFMcg,€€,4.5,3,False,20259.0,563289.66184,5936277.44658,53.57154,9.95575,Eimsbüttel,Eimsbüttel,12.396766027174861
cGIKCcR0wZszz8VldC2-7g,€€,4.0,1,False,22767.0,562763.60978,5933861.31875,53.549890000000005,9.94732,Altona,Altona-Altstadt,1.7527887193265694
SeodQIjOcsrznD7rwIB-Jw,€€,3.5,27,False,,568142.55235,5932589.27228,53.53779,10.02822,Hamburg-Mitte,Rothenburgsort,33.76426968311695
z111X_0D0eONCDL2EtSAaA,€€,4.5,27,False,21149.0,555571.71977,5925092.76401,53.47189,9.83723,Harburg,Neugraben-Fischbek,57.01166590337379
dyIcQ0Aavrhchxq9ckJHQQ,,3.0,2,False,21149.0,555762.68041,5925163.59255,53.47251,9.840119999999999,Harburg,Neugraben-Fischbek,24.487459596510337
TT2qrIUU5O4RVRyMdcPMTQ,,4.0,1,False,21149.0,555727.4291,5925089.36571,53.47184,9.83957,Harburg,Neugraben-Fischbek,71.19129837485303
uHc4UEeB61WcdGsIXtxz1A,€€,2.5,10,False,21149.0,556181.30019,5925301.34714,53.4737,9.84645,Harburg,Neugraben-Fischbek,187.7585496791801
iDbFa_QS9dWsxaVWCZjy8Q,€€,4.0,6,False,21029.0,580582.25069,5927212.28069,53.4877,10.2145,Bergedorf,Bergedorf,82.17155153118395
uwN7W2qQoeTgwR2RtbzE3Q,€€,5.0,7,False,21029.0,580380.0432300001,5927234.64442,53.48794,10.21146,Bergedorf,Bergedorf,65.13291588796473
Lz0Ub6tuzImPgQJZCLv8qA,€,4.5,16,False,21029.0,580086.1329600001,5927398.14054,53.48945,10.20707,Bergedorf,Bergedorf,15.747179603110306
wEtVg37Ypxat_mW1ZrRuWg,€€,4.0,18,False,21039.0,581631.77838,5925627.4544,53.4733,10.2299,Bergedorf,Bergedorf,18.797624848060266
eB5ZgXwqX4OjH3PjvcVqqw,€€,4.5,12,False,21029.0,580771.67829,5927009.20641,53.48585,10.2173,Bergedorf,Bergedorf,51.86552209746796
Zv1LeZIpUf-fgVDZnfsTyg,€€,3.0,5,False,21029.0,580533.9997800001,5927079.17225,53.48652,10.21374,Bergedorf,Bergedorf,95.63688499389951
GK_fTWOJbRbQO30X1t58-A,,4.0,3,False,21029.0,580194.41794,5927259.58973,53.48819,10.20867,Bergedorf,Bergedorf,21.197460365860245
8RTFCEVFVel7jHWdyzyS7g,,4.0,1,False,21029.0,580611.34382,5927023.941240001,53.48601,10.214889999999999,Bergedorf,Bergedorf,108.02246007605316
zSJs6UlQpjoeyYtP0KmIXw,€€,4.0,53,False,21029.0,580486.08915,5927059.97564,53.48635,10.21301,Bergedorf,Bergedorf,107.19604027586689
Zz4ls--O20WxfSrE-Mardg,€€,4.0,14,False,21029.0,580309.7673399999,5927008.00583,53.48591,10.210339999999999,Bergedorf,Bergedorf,91.54856308886815
VYiOF0mjK_FuOVMWxSs-Ag,€€,3.5,29,False,21029.0,580515.8049699999,5927289.0421,53.4884,10.213519999999999,Bergedorf,Bergedorf,62.60446211200658
QvEg8ddyF1ZbpZ-q1YxnwA,,5.0,1,False,21035.0,579527.7267100001,5926377.64405,53.48036,10.1984,Bergedorf,Bergedorf,23.009859082683015
XguDzRJ2azu46Kze_kRgCA,€€,4.0,8,False,21029.0,580805.1385,5926993.086569999,53.4857,10.2178,Bergedorf,Bergedorf,61.573335127160966
f5g2ILmgueS9e83nQ4N77g,€,4.0,18,False,21033.0,579805.99537,5927324.413819999,53.48883000000001,10.20283,Bergedorf,Bergedorf,18.648991956825714
-ihNFjY9pJ247MVW51LvEQ,€€,4.5,5,False,21035.0,579613.49362,5926932.81827,53.48534,10.19983,Bergedorf,Bergedorf,30.908089357173388
5ofzRX3nd1gxx9e9z7MASw,€€,3.5,5,False,21029.0,580437.56198,5927142.606919999,53.4871,10.2123,Bergedorf,Bergedorf,23.053849174846157
HyAhvvMP0iVtRYjm6VWyGA,€€,3.0,42,False,21029.0,580280.93807,5927181.11764,53.487469999999995,10.20995,Bergedorf,Bergedorf,25.841949628354012
XUkBWdxfYvIQ9J3Dq5BtIw,€€,3.0,42,False,21029.0,580170.68908,5927342.82267,53.48894,10.20833,Bergedorf,Bergedorf,22.720443102336414
ipf3737p-Jpij5seiTyztg,€€,3.0,50,False,21029.0,580411.09831,5927137.70586,53.48706,10.2119,Bergedorf,Bergedorf,4.194683920735773
nuC2B4JHpAGoRMq5FUCeRw,€€,3.0,1,False,21029.0,580073.84351,5927340.06909,53.48893,10.20687,Bergedorf,Bergedorf,13.711644152949352
DEm3YYWieo1IwwnNsCMWQw,€€€,3.0,17,False,21029.0,580381.83617,5927297.44558,53.4885,10.2115,Bergedorf,Bergedorf,99.64585795650136
1mSvHvNrgw8QDONThwxEMQ,€€,4.5,98,False,21029.0,580371.59511,5927300.231459999,53.488530000000004,10.21135,Bergedorf,Bergedorf,90.86692325866392
2owx8XU_Kh6NQYkWDCOHfA,€€€,2.5,2,False,21035.0,579588.83031,5926919.0278900005,53.48522,10.19945,Bergedorf,Bergedorf,6.994976341836264
UsN7oty__ct1qIZLJ2SSkQ,€€€,4.0,5,False,21029.0,580482.3019600001,5927243.51635,53.488,10.213,Bergedorf,Bergedorf,77.01213844976553
YvxXpdzIc8JEAs5LrzePDQ,€€,3.0,8,False,21029.0,580509.50289,5927166.08622,53.4873,10.213389999999999,Bergedorf,Bergedorf,5.951011383762117
QOgAHBJ-mrD0tRC3rLOEvg,,5.0,1,False,21029.0,580504.67777,5927119.814590001,53.486880000000006,10.21331,Bergedorf,Bergedorf,52.45016746920344
po87ojNd_qixKGwCCQboLQ,€€,4.0,2,False,21029.0,580307.07118,5927295.2851599995,53.488490000000006,10.21037,Bergedorf,Bergedorf,34.11817941906084
nXrodL-98LfldQ-dJfmxdw,€€,4.0,75,False,21029.0,580352.8772,5927299.66318,53.488519999999994,10.21106,Bergedorf,Bergedorf,73.4236330062616
e7ddDbWUKeYiuy4cGDTUdw,€€,3.5,5,False,21029.0,580246.64275,5927267.76463,53.48825,10.20946,Bergedorf,Bergedorf,7.992509220314222
5ZD5tiAehHozj6CNAa_57g,€€,3.5,6,False,21033.0,579425.15951,5927242.42415,53.48815,10.19707,Bergedorf,Bergedorf,6.975890694652199
TttYOxgubZqsIApBXps3xw,€€,3.0,15,False,21029.0,580866.7559100001,5926882.86365,53.4847,10.2187,Bergedorf,Bergedorf,83.8561831435511
XF9HfsuWnwXbZhb73aoGXw,€€,3.0,4,False,21029.0,580100.50768,5927297.066269999,53.48854,10.20726,Bergedorf,Bergedorf,57.08854655492683
9S37wxwpvOG8JMS2LNEH3A,€€,2.5,10,False,21029.0,580091.52401,5926413.44301,53.4806,10.2069,Bergedorf,Bergedorf,20.116846875589395
tGQv0AasqyralxGUsJIZqQ,,3.0,2,False,21029.0,580239.6494100001,5927072.4795,53.4865,10.2093,Bergedorf,Bergedorf,17.337660536145574
MjvA08ZvJZu0J29TPqUS-Q,€,3.5,2,False,21029.0,580895.17492,5927161.53985,53.4872,10.2192,Bergedorf,Bergedorf,98.6704782275752
Rrh0HV26K299ffOtiycYKw,€€,3.0,26,False,21029.0,580387.21032,5927336.96196,53.48885,10.21159,Bergedorf,Bergedorf,79.02772212035242
DzijpgyXpN0nj83FU0wc_g,,5.0,1,False,21029.0,580228.13663,5927242.53601,53.48803,10.20917,Bergedorf,Bergedorf,27.502555651419712
edje85kZBoKiccEv6Wo4mQ,€€,4.5,6,False,21029.0,580846.21043,5927152.913240001,53.48713000000001,10.21846,Bergedorf,Bergedorf,112.64017805478655
HzyLYlgBFOHtKIWnc6QkfA,€€€,3.5,3,False,21029.0,580247.5164600001,5926569.64702,53.48198000000001,10.20929,Bergedorf,Bergedorf,99.75077705669739
JayE4rK3kl3b6_gNXpqqQw,€,4.0,1,False,21029.0,580849.2549899999,5926902.59415,53.484880000000004,10.21844,Bergedorf,Bergedorf,58.41347148060783
uFh86dusfDcIqUPZlAPWjA,€€,2.5,3,False,21033.0,579275.93648,5927307.7648,53.48876,10.19484,Bergedorf,Bergedorf,27.303801695820198
-FGEmzXxd6vzetcdQNksdg,,1.0,1,False,21029.0,580512.68507,5927018.1435,53.485969999999995,10.2134,Bergedorf,Bergedorf,92.75401395320141
3egK5RDiKkrS11o-krMX3g,€€,4.5,16,False,21029.0,582323.97835,5926126.06034,53.477669999999996,10.24046,Bergedorf,Bergedorf,15.053700755538607
vnrTvNw0oatmQ46Bu7XMZA,€€,4.0,10,False,21029.0,582400.21422,5926486.478130001,53.4809,10.2417,Bergedorf,Bergedorf,48.48390107691429
