,distance
QvEg8ddyF1ZbpZ-q1YxnwA,23.009859082683015
XguDzRJ2azu46Kze_kRgCA,61.573335127160966
f5g2ILmgueS9e83nQ4N77g,18.648991956825714
-ihNFjY9pJ247MVW51LvEQ,30.908089357173388
5ofzRX3nd1gxx9e9z7MASw,23.053849174846157
HyAhvvMP0iVtRYjm6VWyGA,25.841949628354012
XUkBWdxfYvIQ9J3Dq5BtIw,22.720443102336414
ipf3737p-Jpij5seiTyztg,4.194683920735773
nuC2B4JHpAGoRMq5FUCeRw,13.711644152949352
DEm3YYWieo1IwwnNsCMWQw,99.64585795650136
1mSvHvNrgw8QDONThwxEMQ,90.86692325866392
2owx8XU_Kh6NQYkWDCOHfA,6.994976341836264
UsN7oty__ct1qIZLJ2SSkQ,77.01213844976553
YvxXpdzIc8JEAs5LrzePDQ,5.951011383762117
QOgAHBJ-mrD0tRC3rLOEvg,52.45016746920344
po87ojNd_qixKGwCCQboLQ,34.11817941906084
nXrodL-98LfldQ-dJfmxdw,73.4236330062616
e7ddDbWUKeYiuy4cGDTUdw,7.992509220314222
5ZD5tiAehHozj6CNAa_57g,6.975890694652199
TttYOxgubZqsIApBXps3xw,83.8561831435511
XF9HfsuWnwXbZhb73aoGXw,57.08854655492683
9S37wxwpvOG8JMS2LNEH3A,20.116846875589395
tGQv0AasqyralxGUsJIZqQ,17.337660536145574
MjvA08ZvJZu0J29TPqUS-Q,98.6704782275752
Rrh0HV26K299ffOtiycYKw,79.02772212035242
DzijpgyXpN0nj83FU0wc_g,27.502555651419712
edje85kZBoKiccEv6Wo4mQ,112.64017805478655
HzyLYlgBFOHtKIWnc6QkfA,99.75077705669739
JayE4rK3kl3b6_gNXpqqQw,58.41347148060783
uFh86dusfDcIqUPZlAPWjA,27.303801695820198
-FGEmzXxd6vzetcdQNksdg,92.75401395320141
3egK5RDiKkrS11o-krMX3g,15.053700755538607
vnrTvNw0oatmQ46Bu7XMZA,48.48390107691429
g9ylvGdAVIch-Y52TLGCww,12.566937568941164
dpRmaAsro244woCbG-KXsQ,97.91531535527545
HOF5OiBdvdlwq1KVzE9ZWw,44.86571821722428
uediSPOOphx_pjHdEh8o6w,36.86857297243193
uL2lgxX9ZyWuL5b_tM3V7w,72.16391482871897
Cw7U5VNrO8Xc8RbOyv1eGg,39.70857259800117
5hLgt7EOAsakw7gvQXO2hg,35.10634501769996
uH_upvPztOicOQbLPKIxBg,36.722218494880046
EyRhmv16rRxKLtyuVHlaGg,38.73152964195532
cFLgL5djHrgc4x8w-5SrRw,77.90455343898991
svMvWfP_oj_T5ol1u3gH0A,17.715164868134284
ceta9UkTZYUYM_fBq7G_hQ,11.197783075756725
_jg-uq_jg1L9ASCZNd54Tg,11.75192344471086
45K9V6Od-olAsZzNnCq1Ew,19.936338745862436
Xj9G0gSsZLrLBp4Pu3Pt7A,42.08853776496394
GzkdZKdjaoIzIz0SzaoKdg,123.71907912391431
eFE5SnsanlNihnFs1fORDw,8.190271983897034
xmU6uVUEbYDgtmppRidtYg,11.505251786042294
viU8W58X8U7CIk18WRp8IQ,314.855408161268
WvHcp_RfDgRiD5yS8bYnZw,288.39955009087436
6_i0Ifuq-HxOqLvguRO4UA,156.2048732971962
gLtQQkYai9Znzw4n2GgsUg,289.09062594124714
nQ4PwWDBJX1S6HlUaFV-WA,22.246299031447137
9nxH2XceyoLqm7cYttMa1w,21.12907956081034
LqO9oPYXKNQxbKlkmyKReg,220.9505854246304
aAKi6ncepOps5ayCZfZM8A,35.593036247205895
VL0pEEHT9ogmfMwXwD-5zw,252.7945785134299
QmjFGY9B_GncEmCnrzLhNQ,25.69529495021882
-y32zu4-y6NOWlPed6dNIQ,107.25329474209006
PdMnHFRCwzO1PGqvfCpnrg,36.024863425037104
nPPmY-N0ALc-bfAz7huaQg,67.54274056766121
5N_GFt0eu3sCXEbvuWF_xA,27.357070892998532
_2qYJYNRbeHNqB6W6ALWxg,5.847653828373707
zonrbXJvqBtw1CA_5YMJRQ,45.409843759075926
ssPTSOBjG7hS3h7hcOHsYQ,4.623880713467007
uvR7nZx1CY5pKQIM48ZZGA,47.23096271098077
hG3SYB9Q99Y9Y1nN7UqblQ,113.98042881243758
ro0WL2LKDt9QzdE4QnuzoQ,9.843176302757247
JfKWYXLZiYXl_51QhxdYaQ,43.510376570355234
OKLnmkZ6bYNYDAEjW6U0Cw,9.139283782067803
mOPs94-ltSa41cqVn9hGIQ,50.19585297777681
Fr2vBIGYy5vB55SJYItQ9g,26.105277041489696
FuDqMFs1-ce6w0Pi8NCU1w,5.13924849824668
8KfeWOJl-gMUhwRXmWJ1pA,75.70292016746602
qYs2XBBr-SN0Lvz_VnhBiw,21.77944748425985
3iOc8w6sYCVtqP43tMLrag,168.31961797936398
2Qg2-LgGVjSclZT_TRpo0Q,14.808178156521006
ECY6Bpg-yRIOkLiePIWplw,28.748224301263
7EHpIWHvoW_oPx26KcXTRg,7.203887199541685
ZZZQ923szOGq3s-8Po7SxA,1.5199577830166944
OakpPP3OESsTSLAoX0AXCg,61.70144508064862
eaar-pJ3iU3FLRGcMykupw,36.12893206121742
a4PMQ5JQrr6kiNm88A2zCw,99.86511966097325
LPscYMQOIhBdkNmYsBSitw,84.42913277051882
wns0tEarHxA0M5UsbrY-XQ,157.69341444903463
p0Bm5o6fbrknwGEVtzikRA,4.0774109178013545
QzVpEFaN0XZe6jALMZg1sQ,7.986672080959585
IDjcVVGyESwwvbvN1bLjuQ,88.7333799445935
YwskX4DDso1WQLrpsERCuw,33.958668278010975
7OmvdNUi9n4EcBLmZUtxMA,18.86598402981472
fa8IxUKMS_g7Vb5OZM4nrQ,49.414959229118146
U8ZdmizPZNi-wSW6nyMr5A,28.89264842226816
ssnLRo5BRqn2epOzxnHryg,73.93315831391142
dGHvj7ZvUZcTMzLWoNlb0A,22.523823065592833
gvtbA9qV81QUCbQLCmLJ_A,22.828196427642595
BuWxbW6pbqxsXs0eB7hrWA,19.629851444054005
P60dbmGnbgDrqUFTDPUIoQ,17.676022262771436
yFKrFeN3B3-AZh6FClPM0A,122.99252641203853
tsMbmtFE7c8oI4BpbBWfkQ,66.2477698958164
gd_YrUKvO5wVpw5Z7zPQWQ,54.164237058625496
sdAZwPKxjK9G_tgdBTQm_Q,50.29353672769085
AlDUWW2NRY5iWci8qbBJag,138.01711701654665
O3_9LrM2z7eyznSAP9KrsA,47.16819821831059
bV7QqSWeT214eEYNKFHfUQ,158.15279332194063
_lnuho27eVj0Mo9uaUwKjw,32.79737940277174
0N2WPiWN_kI_3TQlab_uAg,104.15963401850365
gBH3d24lctwqqCQkiAyNWw,11.438039969873607
lb_5Il0RiWf-WYoleqq4SA,214.69578707060143
5fZ9jkrklSrRyUbPaMAWjQ,210.1855427635234
UFrxnnO3z2TUk_h395E1hw,15.366733137491094
k2BdDVKGXUPzG9rsKA9x2Q,4.07034422005312
P7YC7oThRqesvw1RFWzRAQ,258.28099315729185
k2VcY6vDQSyLZBkdegOzew,6.988352804944562
83Aj0NzMKmvnm0yg9gtsoQ,15.50814665862233
pSzgOFD0cfVQtC8A8IMI4w,14.17137309361396
jfNuFmyWQfl-dUt-SPQ7OA,5.351635750815089
gyezVlqRrOVwzDiFzbpP6A,32.55696106835494
dijCqK6CmPhlUPC17sKHgg,7.35907800557091
JzOAhg3YkiIpBkWfy-cIPg,14.988531272728428
1Cn3SKMTlIm8ATXNpkekyg,37.51202608278493
yhosiYiOI9xISvFwMonfjg,59.86914624269486
N64GmSG5t5AgcCyExP85fA,27.237705746719055
wpL3fJmVfD9BxMKKEUnTlg,106.61414448111294
cENV4e-uYI6n9rz-djMLpg,38.38386464651047
0Dq2u8WaFJlQnWTVpIHsDw,31.405683177869776
7n3VbNvGndnknyhA1KcYYw,56.77269899502102
W9EAWUwf4GOi5eQkci3bHQ,101.51735384613353
WydBmafvTE05XL8cvXh1tg,76.90657220038511
TnDldXThLtvuk08KkL03Hg,176.44920875034316
HruG03Njlxgm3x31iY6q_Q,162.09075481811237
SFUK2wwcdACH-1iYf5-y4Q,164.78010293684176
w-uxLCNAf06QBlfzC83DAQ,104.64894753888572
FY6Q336c3PrPp0L1hQW8xA,86.94400811158879
RsWynCVZqVoHY8nTdx89Zw,219.97356593099897
eiiSy1-2zbpcdvMmHzMtzg,230.35619231409527
opZw8A9bdxiAtEaK9HsIpg,88.39617245208743
d6pmhcizXtJK3xWm3cUEmA,4.661478771902195
rijtsEzIST8vpykvvRcneA,4.661478771902195
PsZiISLQUkaXKUZ-ggQ12g,284.324721740841
1sEExR-zu9DmbWGroM4bog,46.587760569454026
SLgMERrjsI61LhQ6tlASig,7.260137382650997
PUy1Oh5ReFBoNmFzP-r6-w,15.184620140417788
FhCSHnuquJbo8w4MAehEzg,7.260137382650997
GOD5s7sB_XG6fF66T4bzrg,42.77025669842093
sStY2sKBeRk9-Na4Go7euw,115.60655991233418
UEOWYJX6084Rmy0Qm3qQMw,196.91224012847084
EO701oyc8GLd4ACHiMFJMg,31.23501500516963
ajSQj7KiiYSqsHQzd09_oQ,106.38699238425357
PabtlNDCBg9wYhM6OmcHGw,143.79697384572793
RSKSnNrCD7ir_zYgoqPtQA,16.498529629153985
UBgt4GnMhJZkpRtoPsQXaQ,73.52649541283424
rDQmTfBfVsgdKXBm_LDGdQ,18.787420603285835
WTdi4SEP0NIl8LF4LIyqVA,23.70094040928723
0QBLQfkJszKCPFLzn_Ap4A,22.668693426425058
n2AqiJRJbqLfn3yjuYkWhA,11.043605404406026
sQpyn6ZKAhvf-4qVLta4vA,91.68773854309883
wKIubYNmrW-KDSEdmW48ww,39.86561189561285
43af3R-me622zfcTKlhQtg,39.926963888935276
8JD3bvU8lD13oJi9lZbNGw,128.44878878181888
u6Kx4YhAz6zg2cRsOXZ-uQ,53.10838696255855
T7nmJS0TcfCf8G57OUwwIg,176.13468410056598
8Q--FzMt-Yi2A2yOxcwBVg,177.96952200246017
r--LFBLuAQoXxR6DNAq1fA,4.223724515586903
ggJua_rmioTRlw7Qxkm4Sg,73.9945878603281
jR0ug_XIH94AGwkGwXXUQw,50.63115625277957
NJRwSmdUTRwoTF0cwj2YWA,115.96893004908075
yI3Dc37NudFTaMcqTnTc1Q,80.59861379990959
LCJqWscQr5-GlrG4fl6vyw,63.513885095439235
8XSZziK-2FuaItksHhgwUw,75.60733662752298
GLyNMq8nSeW2O3c-Ui8YMQ,118.64997234443695
z-jefHHVD7IVK6JXzsS5hw,38.77731962282318
MmAcdNt1b8wzLDEi_n1XlQ,16.200339428026762
