,id,price,rating,review_count,is_closed,zip_code,epsg25832_latitude,epsg25832_longitude,epsg4326_latitude,epsg4326_longitude,success
58,PMxHu9ZO9qHXsZH6tl1kwQ,,3.0,1,False,21423.0,580269.6981925961,5912437.646835484,53.3549752110993,10.2060249075294,-0.5904990589126955
59,Av2-ZBVVVD0rQRYbCAcktQ,€€,3.0,4,False,21423.0,580433.0461301929,5912051.919568002,53.351483900000005,10.208380499999999,-0.6790225719637776
60,DtRF2WlXK5QMxvjsiyBMGQ,,3.0,1,False,21423.0,580146.494317716,5913328.510502827,53.363,10.2044,-0.5904990589126955
61,9yXQ-bebruqsap-j37aPxg,,4.5,2,False,21423.0,580380.7085238813,5913254.576200936,53.3623,10.2079,-0.22495202244293164
62,IyV4XpLJcyjHqWnJG66_Dg,€€,3.0,1,False,21423.0,580425.217091175,5913377.730137141,53.3634,10.2086,-0.7468682653715025
63,N6xu8s8qhc2m3tD1KndCNQ,€€€,3.5,5,False,21423.0,580260.6648605479,5913118.560552833,53.361095881615704,10.2060619935695,-0.6671756207769037
64,4Fk1QDlkbhKCviXBuyBx1w,,5.0,1,False,21423.0,580460.5134169565,5913600.177956113,53.36539373929521,10.209186896681802,-0.5904990589126955
65,JgF_InebJTFsmGKbHJ4jPA,,5.0,1,False,21423.0,580341.1299729404,5912052.156414331,53.3515,10.207,-0.5904990589126955
66,2wUBmk7QQYzJB1f2uqR91w,€€,4.5,10,False,21423.0,580441.7273218725,5913188.844971515,53.3617,10.2088,-0.5433311851483276
67,ZdqdKR3tTm-Q8f7_Sx9e2A,,5.0,1,False,21423.0,580096.0610518093,5913516.824331612,53.3647,10.20369,-0.5904990589126955
68,uOfYwKHQpG-tMT14XFS9YQ,€,2.0,4,False,21423.0,580267.9527065768,5912482.841450581,53.355381635463,10.2060101553798,-0.49203978123528846
69,KJJv7m_iV3NctiorCFcKDw,€€,4.5,19,False,21220.0,568360.4631219817,5913700.63425723,53.368,10.0274,-0.3397941049251527
70,uT9RGHTVWP8bfGQBb_iS-A,€€,4.5,10,False,21217.0,567881.7608052195,5919713.305904489,53.4221,10.0215,-0.5433311851483276
71,2U7By3s0y2xQhh-ruu1h2g,€,4.0,1,False,21220.0,568963.0017479872,5916499.144668072,53.393073,10.037065,-0.6028700108840561
72,JSPcrGVUT26N2bqIuvtAgA,€€,4.0,10,False,21220.0,569528.3494964119,5917111.243661612,53.3985,10.0457,-0.5433311851483276
