category_restaurant_id,category_alias,category_title
Rrh0HV26K299ffOtiycYKw,cafes,Cafes
DzijpgyXpN0nj83FU0wc_g,food,Food
edje85kZBoKiccEv6Wo4mQ,currysausage,Curry Sausage
HzyLYlgBFOHtKIWnc6QkfA,hotdogs,Fast Food
JayE4rK3kl3b6_gNXpqqQw,german,German
uFh86dusfDcIqUPZlAPWjA,hotdogs,Fast Food
-FGEmzXxd6vzetcdQNksdg,greek,Greek
3egK5RDiKkrS11o-krMX3g,italian,Italian
vnrTvNw0oatmQ46Bu7XMZA,cafes,Cafes
g9ylvGdAVIch-Y52TLGCww,international,International
zyNzT7I7tYdCjmDSiILDBA,thai,Thai
bqWdSQ8TXXDSwIEyU1Y14g,gamemeat,Game Meat
dpRmaAsro244woCbG-KXsQ,german,German
HOF5OiBdvdlwq1KVzE9ZWw,german,German
uediSPOOphx_pjHdEh8o6w,german,German
uL2lgxX9ZyWuL5b_tM3V7w,chinese,Chinese
Cw7U5VNrO8Xc8RbOyv1eGg,greek,Greek
5hLgt7EOAsakw7gvQXO2hg,greek,Greek
uH_upvPztOicOQbLPKIxBg,italian,Italian
EyRhmv16rRxKLtyuVHlaGg,mediterranean,Mediterranean
cFLgL5djHrgc4x8w-5SrRw,greek,Greek
svMvWfP_oj_T5ol1u3gH0A,hotels,Hotels
ceta9UkTZYUYM_fBq7G_hQ,international,International
_jg-uq_jg1L9ASCZNd54Tg,pizza,Pizza
45K9V6Od-olAsZzNnCq1Ew,cafes,Cafes
Xj9G0gSsZLrLBp4Pu3Pt7A,german,German
GzkdZKdjaoIzIz0SzaoKdg,german,German
eFE5SnsanlNihnFs1fORDw,boatcharters,Boat Charters
xmU6uVUEbYDgtmppRidtYg,german,German
viU8W58X8U7CIk18WRp8IQ,greek,Greek
WvHcp_RfDgRiD5yS8bYnZw,german,German
6_i0Ifuq-HxOqLvguRO4UA,pizza,Pizza
gLtQQkYai9Znzw4n2GgsUg,bakeries,Bakeries
nQ4PwWDBJX1S6HlUaFV-WA,sandwiches,Sandwiches
9nxH2XceyoLqm7cYttMa1w,kebab,Kebab
LqO9oPYXKNQxbKlkmyKReg,german,German
TXclbOdYrVsNM2uik_m2oA,italian,Italian
oom8mBCXiSpuBi9-kGY9Dw,german,German
r8UoBfthkmPIltjH6pnbew,german,German
K-c1L2ANYPM90Le7fmIAYg,german,German
L0PE8l2za6T5iFmnifX3Vw,malaysian,Malaysian
CfKNEwv5DBnLcnBHYcu5-g,indpak,Indian
ah62ICfGdGvCYSQISOj4Vg,german,German
WAqkN36-uj_n7w8koAT-Sg,german,German
gkLi3qhDNfrIi8qVHEpKnQ,cafes,Cafes
RMKsui6Sl0-HgyPRMc1D9A,cafes,Cafes
7qdI-lUIZvIrz3zf2xmS4g,greek,Greek
aAKi6ncepOps5ayCZfZM8A,italian,Italian
VL0pEEHT9ogmfMwXwD-5zw,greek,Greek
QmjFGY9B_GncEmCnrzLhNQ,burgers,Burgers
-y32zu4-y6NOWlPed6dNIQ,northerngerman,Northern German
PdMnHFRCwzO1PGqvfCpnrg,canteen,Canteen
nPPmY-N0ALc-bfAz7huaQg,chinese,Chinese
5N_GFt0eu3sCXEbvuWF_xA,steak,Steakhouses
_2qYJYNRbeHNqB6W6ALWxg,bars,Bars
zonrbXJvqBtw1CA_5YMJRQ,mediterranean,Mediterranean
ssPTSOBjG7hS3h7hcOHsYQ,steak,Steakhouses
uvR7nZx1CY5pKQIM48ZZGA,german,German
hG3SYB9Q99Y9Y1nN7UqblQ,cafes,Cafes
ro0WL2LKDt9QzdE4QnuzoQ,greek,Greek
JfKWYXLZiYXl_51QhxdYaQ,german,German
OKLnmkZ6bYNYDAEjW6U0Cw,mediterranean,Mediterranean
mOPs94-ltSa41cqVn9hGIQ,cafes,Cafes
Fr2vBIGYy5vB55SJYItQ9g,kebab,Kebab
FuDqMFs1-ce6w0Pi8NCU1w,turkish,Turkish
8KfeWOJl-gMUhwRXmWJ1pA,cafes,Cafes
qYs2XBBr-SN0Lvz_VnhBiw,vietnamese,Vietnamese
3iOc8w6sYCVtqP43tMLrag,german,German
2Qg2-LgGVjSclZT_TRpo0Q,kebab,Kebab
ECY6Bpg-yRIOkLiePIWplw,german,German
7EHpIWHvoW_oPx26KcXTRg,pizza,Pizza
ZZZQ923szOGq3s-8Po7SxA,fishnchips,Fish & Chips
OakpPP3OESsTSLAoX0AXCg,potatoes,Potatoes
eaar-pJ3iU3FLRGcMykupw,burgers,Burgers
