,x,y,distance_to_water,restaurant_density
65,549645.0,5942563,857.0159578534675,0
66,549645.0,5943563,1570.5039231384776,0
67,549645.0,5944563,2244.899458737722,0
68,549645.0,5945563,3100.4297423241965,0
69,549645.0,5946563,4023.15244482931,0
70,549645.0,5947563,4975.82622300896,0
71,549645.0,5948563,5944.06742970091,0
72,549645.0,5949563,6921.345867393044,0
73,549645.0,5950563,7904.310192757261,0
74,549645.0,5951563,8891.07477364654,0
75,549645.0,5952563,9880.501082324796,0
76,549645.0,5953563,10871.862427618786,0
77,549645.0,5954563,11864.673769316903,0
78,550645.0,5916563,7657.067040993724,0
79,550645.0,5917563,7052.487156489949,0
80,550645.0,5918563,6238.964454805426,0
81,550645.0,5919563,5380.3948835638885,0
82,550645.0,5920563,4579.587398209077,0
83,550645.0,5921563,3870.629785435257,0
84,550645.0,5922563,3301.2743141863616,0
85,550645.0,5923563,2729.460742877209,0
86,550645.0,5924563,2449.79586829372,0
87,550645.0,5925563,2208.505997186501,0
88,550645.0,5926563,1497.8437971240103,0
89,550645.0,5927563,1216.46698936026,0
90,550645.0,5928563,444.29545920816884,0
91,550645.0,5929563,233.524739071157,0
92,550645.0,5930563,506.65930175795995,0
93,550645.0,5931563,413.29328898097435,0
94,550645.0,5932563,298.04582081438514,0
95,550645.0,5933563,589.5619569409191,0
96,550645.0,5934563,7.938212379854803,0
97,550645.0,5935563,116.76661910051195,1
98,550645.0,5936563,227.8808403923347,0
99,550645.0,5937563,31.809221400126734,2
100,550645.0,5938563,72.57596196770297,0
101,550645.0,5939563,132.85174457564884,1
102,550645.0,5940563,25.146478232545416,0
103,550645.0,5941563,244.2461670955542,0
104,550645.0,5942563,219.91123503924197,0
105,550645.0,5943563,864.7457887528619,0
106,550645.0,5944563,1822.3271622882035,0
107,550645.0,5945563,2809.620489258459,0
108,550645.0,5946563,3803.5586364493597,0
109,550645.0,5947563,4800.015552907727,0
110,550645.0,5948563,5797.69267169308,0
111,550645.0,5949563,6796.052628007763,0
112,550645.0,5950563,7794.833053369314,0
113,550645.0,5951563,8793.890682578807,0
114,550645.0,5952563,9793.140678270374,0
115,550645.0,5953563,10792.529608559871,0
116,550645.0,5954563,11792.02214884661,0
117,551645.0,5916563,6879.466946257824,0
118,551645.0,5917563,6254.555495562762,0
119,551645.0,5918563,5650.775982979161,0
120,551645.0,5919563,4900.3612873931415,0
121,551645.0,5920563,4004.6863025381,0
122,551645.0,5921563,3171.9842396347417,0
123,551645.0,5922563,2463.8651417496626,0
124,551645.0,5923563,1889.6906657137527,0
125,551645.0,5924563,1456.8715322521962,0
126,551645.0,5925563,1350.3293060115425,0
127,551645.0,5926563,855.9775249211259,0
128,551645.0,5927563,285.02015598079845,0
129,551645.0,5928563,135.28397879554615,0
130,551645.0,5929563,56.877204574708884,0
131,551645.0,5930563,23.621725597472224,0
132,551645.0,5931563,219.9920957357973,0
133,551645.0,5932563,46.64887441870005,0
134,551645.0,5933563,5.258261245636149,0
135,551645.0,5934563,3.127402616841043,0
136,551645.0,5935563,487.2125603806063,1
137,551645.0,5936563,726.2614470829899,0
138,551645.0,5937563,80.70947045720685,0
139,551645.0,5938563,55.98230087482859,0
140,551645.0,5939563,249.55934533835023,0
141,551645.0,5940563,142.99547904310836,0
142,551645.0,5941563,731.7892469279898,0
143,551645.0,5942563,673.6929910547054,0
144,551645.0,5943563,1014.4397398260131,0
145,551645.0,5944563,1897.9407243077526,0
146,551645.0,5945563,2859.242906825757,0
147,551645.0,5946563,3840.359489355257,0
148,551645.0,5947563,4829.228925483709,0
149,551645.0,5948563,5821.902010681398,0
150,551645.0,5949563,6816.717247269662,0
151,551645.0,5950563,7812.856394205082,0
152,551645.0,5951563,8809.870376101955,0
153,551645.0,5952563,9807.492393622662,0
154,551645.0,5953563,10805.554037540784,0
155,551645.0,5954563,11803.943792879627,0
156,552645.0,5916563,6101.421228906112,0
157,552645.0,5917563,5468.558195313323,0
158,552645.0,5918563,4854.832891820222,0
159,552645.0,5919563,4248.74408304928,0
160,552645.0,5920563,3531.082933432777,0
161,552645.0,5921563,2669.527235371851,0
162,552645.0,5922563,1774.9217715569857,0
163,552645.0,5923563,1076.7952161667447,0
164,552645.0,5924563,493.4060464412052,0
