field_1,x,y,distance_to_water,restaurant_density,gml_id,OBJECTID,Bezirk_Name,Stadtteil,Ortsteilnummer,Bezirk,SHP_Length,SHP_Area
368,557645.00000,5933563,108.01973,1,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
369,557645.00000,5934563,280.96343,2,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
370,557645.00000,5935563,258.73132,2,F17__45,45,Altona,Groß Flottbek,218,2,6929.69928,2369124.49062
371,557645.00000,5936563,311.85916,0,F17__44,44,Altona,Bahrenfeld,217,2,10509.34037,4617921.22052
372,557645.00000,5937563,320.22379,1,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
373,557645.00000,5938563,31.99312,9,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
374,557645.00000,5939563,65.34462,2,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
375,557645.00000,5940563,80.27877,0,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
396,558645.00000,5922563,43.19751,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
397,558645.00000,5923563,572.06702,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
398,558645.00000,5924563,200.68144,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
399,558645.00000,5925563,395.65114,1,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
400,558645.00000,5926563,17.20771,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
401,558645.00000,5927563,125.24236,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
402,558645.00000,5928563,16.74157,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
403,558645.00000,5929563,24.78937,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
404,558645.00000,5930563,135.97483,1,F17__43,43,Hamburg-Mitte,Finkenwerder,141,1,20776.54772,19628662.10629
405,558645.00000,5931563,98.67359,0,F17__43,43,Hamburg-Mitte,Finkenwerder,141,1,20776.54772,19628662.10629
406,558645.00000,5932563,8.33150,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
407,558645.00000,5933563,294.29195,0,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
408,558645.00000,5934563,163.31414,9,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
409,558645.00000,5935563,238.79335,2,F17__45,45,Altona,Groß Flottbek,218,2,6929.69928,2369124.49062
410,558645.00000,5936563,116.17726,3,F17__44,44,Altona,Bahrenfeld,217,2,10509.34037,4617921.22052
411,558645.00000,5937563,429.30993,1,F17__44,44,Altona,Bahrenfeld,217,2,10509.34037,4617921.22052
412,558645.00000,5938563,176.40373,0,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
413,558645.00000,5939563,21.04473,0,F17__60,60,Altona,Lurup,220,2,12932.12927,6287915.75134
414,558645.00000,5940563,133.81107,0,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
415,558645.00000,5941563,157.35365,0,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
436,559645.00000,5923563,68.43178,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
437,559645.00000,5924563,338.98677,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
438,559645.00000,5925563,17.66576,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
439,559645.00000,5926563,80.88358,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
440,559645.00000,5927563,59.24461,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
441,559645.00000,5928563,72.77291,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
442,559645.00000,5929563,211.59608,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
443,559645.00000,5930563,1.90690,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
444,559645.00000,5931563,5.80512,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
445,559645.00000,5932563,2.48807,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
446,559645.00000,5933563,182.18999,2,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
447,559645.00000,5934563,91.79202,2,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
448,559645.00000,5935563,120.08511,3,F17__49,49,Altona,Bahrenfeld,216,2,8115.83520,2998082.05474
449,559645.00000,5936563,292.68973,0,F17__49,49,Altona,Bahrenfeld,216,2,8115.83520,2998082.05474
450,559645.00000,5937563,412.35030,1,F17__44,44,Altona,Bahrenfeld,217,2,10509.34037,4617921.22052
451,559645.00000,5938563,154.59874,4,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
452,559645.00000,5939563,83.50338,0,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
453,559645.00000,5940563,99.75685,14,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
454,559645.00000,5941563,142.04376,1,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
455,559645.00000,5942563,110.97263,0,F17__80,80,Eimsbüttel,Schnelsen,319,3,14995.94154,8945640.11411
456,559645.00000,5943563,63.74945,0,F17__80,80,Eimsbüttel,Schnelsen,319,3,14995.94154,8945640.11411
471,560645.00000,5919563,32.96904,0,F17__168,168,Harburg,Eißendorf,710,7,18518.91918,8333407.96709
475,560645.00000,5923563,40.95017,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
476,560645.00000,5924563,454.89959,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
477,560645.00000,5925563,25.34568,0,F17__173,173,Harburg,Hausbruch,714,7,20632.24895,9833360.84260
478,560645.00000,5926563,225.89470,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
479,560645.00000,5927563,149.61294,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
480,560645.00000,5928563,85.72655,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
481,560645.00000,5929563,62.47231,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
482,560645.00000,5930563,60.97111,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
483,560645.00000,5931563,9.79727,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
484,560645.00000,5932563,42.32772,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
485,560645.00000,5933563,316.86838,10,F17__56,56,Altona,Othmarschen,219,2,10701.73812,5942504.72640
486,560645.00000,5934563,336.22896,8,F17__47,47,Altona,Ottensen,212,2,4162.65578,994588.98292
487,560645.00000,5935563,123.19589,12,F17__49,49,Altona,Bahrenfeld,216,2,8115.83520,2998082.05474
488,560645.00000,5936563,382.56985,1,F17__66,66,Altona,Bahrenfeld,215,2,9361.41303,2918078.79670
489,560645.00000,5937563,316.93359,1,F17__66,66,Altona,Bahrenfeld,215,2,9361.41303,2918078.79670
490,560645.00000,5938563,145.88233,4,F17__73,73,Eimsbüttel,Stellingen,321,3,12374.71602,6084483.16825
491,560645.00000,5939563,107.74549,3,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
492,560645.00000,5940563,133.09727,0,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
493,560645.00000,5941563,56.24072,0,F17__71,71,Eimsbüttel,Eidelstedt,320,3,15494.75968,8715780.58700
494,560645.00000,5942563,72.09938,0,F17__80,80,Eimsbüttel,Schnelsen,319,3,14995.94154,8945640.11411
495,560645.00000,5943563,85.79819,7,F17__80,80,Eimsbüttel,Schnelsen,319,3,14995.94154,8945640.11411
496,560645.00000,5944563,125.77401,0,F17__80,80,Eimsbüttel,Schnelsen,319,3,14995.94154,8945640.11411
510,561645.00000,5919563,17.52481,0,F17__169,169,Harburg,Marmstorf,709,7,13389.45986,5839303.78277
511,561645.00000,5920563,1.01686,0,F17__169,169,Harburg,Marmstorf,709,7,13389.45986,5839303.78277
512,561645.00000,5921563,23.29886,0,F17__168,168,Harburg,Eißendorf,710,7,18518.91918,8333407.96709
513,561645.00000,5922563,31.59160,0,F17__168,168,Harburg,Eißendorf,710,7,18518.91918,8333407.96709
514,561645.00000,5923563,141.34107,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
515,561645.00000,5924563,85.93767,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
516,561645.00000,5925563,40.13149,0,F17__175,175,Harburg,Heimfeld,711,7,22027.58083,12994259.03667
517,561645.00000,5926563,145.16796,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
518,561645.00000,5927563,156.42684,0,F17__176,176,Harburg,Moorburg,712,7,16041.52072,9992096.61874
519,561645.00000,5928563,95.82957,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
520,561645.00000,5929563,30.30849,0,F17__166,166,Harburg,Altenwerder,713,7,13271.94645,6694988.55760
521,561645.00000,5930563,1.91583,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
522,561645.00000,5931563,37.81480,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
523,561645.00000,5932563,2.49493,0,F17__39,39,Hamburg-Mitte,Waltershof,140,1,14289.03494,9770442.75020
